"filename", "language", "XML", "Java", "Markdown", "comment", "blank", "total"
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\utils\PasswordHashing.java", "Java", 0, 28, 0, 8, 6, 42
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\utils\TypewriterEffectPrinter.java", "Java", 0, 20, 0, 9, 5, 34
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\utils\UUIDGen.java", "Java", 0, 7, 0, 5, 3, 15
"e:\NEU\CalOMatic 9000\brain\src\main\java\edu\neu\cal\utils\showWelcomeScreen.java", "Java", 0, 28, 0, 11, 7, 46
"e:\NEU\CalOMatic 9000\brain\src\test\java\edu\neu\cal\AppTest.java", "Java", 0, 20, 0, 14, 5, 39
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\App.class", "Java", 0, 8, 0, 0, 0, 8
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\Dbconnector\DbAccess.class", "Java", 0, 48, 0, 0, 1, 49
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\auth\authService.class", "Java", 0, 84, 0, 0, 2, 86
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\auth\authUser.class", "Java", 0, 39, 0, 15, 0, 54
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\calculators\CalorieCalculator.class", "Java", 0, 9, 0, 0, 0, 9
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\calculators\CalorieCalculator2.class", "Java", 0, 61, 0, 0, 0, 61
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\calculators\DataFromDB.class", "Java", 0, 28, 0, 0, 0, 28
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\calculators\NutrientCalculator.class", "Java", 0, 20, 0, 0, 0, 20
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\controller\AdvisorController.class", "Java", 0, 15, 0, 0, 1, 16
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\controller\CalorieController.class", "Java", 0, 92, 0, 0, 2, 94
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\controller\FoodEntryController.class", "Java", 0, 44, 0, 0, 0, 44
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\controller\UserProfileController.class", "Java", 0, 110, 0, 0, 1, 111
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\dao\FoodDao.class", "Java", 0, 54, 0, 0, 1, 55
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\dao\FoodHistoryDao.class", "Java", 0, 25, 0, 0, 0, 25
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\dao\UserDao.class", "Java", 0, 56, 0, 0, 1, 57
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\dao\UserProfileDao.class", "Java", 0, 108, 0, 0, 9, 117
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\domain\Food.class", "Java", 0, 23, 0, 0, 0, 23
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\domain\FoodEntry.class", "Java", 0, 20, 0, 0, 0, 20
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\domain\FoodHistory.class", "Java", 0, 13, 0, 0, 0, 13
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\domain\HealthGoalPlan.class", "Java", 0, 43, 0, 0, 0, 43
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\domain\HealthGoalPlanImpl.class", "Java", 0, 48, 0, 0, 0, 48
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\domain\PrintContent.class", "Java", 0, 152, 0, 0, 0, 152
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\domain\User.class", "Java", 0, 23, 0, 0, 0, 23
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\domain\UserProfile.class", "Java", 0, 21, 0, 22, 0, 43
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\main\CalOMatic9000.class", "Java", 0, 23, 0, 0, 0, 23
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\main\afterLoginService.class", "Java", 0, 26, 0, 0, 0, 26
"e:\NEU\CalOMatic 9000\brain\target\classes\edu\neu\cal\test\FoodDaoTest.class", "Java", 0, 12, 0, 0, 0, 12
